pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_facility,sy_dist,sy_disterr1,sy_disterr2
HD 2039 b,HD 2039,1,Radial Velocity,2002,Anglo-Australian Telescope,85.6922,0.2048,-0.2038
HD 204313 b,HD 204313,3,Radial Velocity,2010,La Silla Observatory,47.7945,0.1455,-0.1446
HD 204313 c,HD 204313,3,Radial Velocity,2015,La Silla Observatory,47.7945,0.1455,-0.1446
HD 204313 e,HD 204313,3,Radial Velocity,2022,Multiple Observatories,47.7945,0.1455,-0.1446
HD 204941 b,HD 204941,1,Radial Velocity,2011,La Silla Observatory,28.7165,0.0612,-0.0609
HD 205158 b,HD 205158,1,Radial Velocity,2022,Multiple Observatories,86.6159,0.387,-0.3836
HD 205739 b,HD 205739,1,Radial Velocity,2008,Las Campanas Observatory,92.5087,0.8954,-0.8787
HD 206255 b,HD 206255,1,Radial Velocity,2019,Las Campanas Observatory,75.2363,0.1995,-0.1985
HD 206610 b,HD 206610,1,Radial Velocity,2009,W. M. Keck Observatory,147.192,1.963,-1.963
HD 206893 b,HD 206893,2,Imaging,2021,Gemini Observatory,40.7583,0.1072,-0.1066
HD 206893 c,HD 206893,2,Imaging,2022,European Southern Observatory,40.7583,0.1072,-0.1066
HD 207496 b,HD 207496,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),23.606,0.0179,-0.0179
HD 20781 b,HD 20781,5,Radial Velocity,2019,La Silla Observatory,35.9715,0.0527,-0.0526
HD 20781 c,HD 20781,5,Radial Velocity,2019,La Silla Observatory,35.9715,0.0527,-0.0526
HD 20781 d,HD 20781,5,Radial Velocity,2019,La Silla Observatory,35.9715,0.0527,-0.0526
HD 20781 e,HD 20781,5,Radial Velocity,2019,La Silla Observatory,35.9715,0.0527,-0.0526
HD 20782 b,HD 20782,5,Radial Velocity,2006,Anglo-Australian Telescope,35.9864,0.0414,-0.0413
HD 207832 b,HD 207832,2,Radial Velocity,2012,W. M. Keck Observatory,58.9291,0.156,-0.1552
HD 207832 c,HD 207832,2,Radial Velocity,2012,W. M. Keck Observatory,58.9291,0.156,-0.1552
HD 207897 b,HD 207897,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),28.2938,0.0312,-0.0312
HD 20794 b,HD 20794,4,Radial Velocity,2011,La Silla Observatory,6.00278,0.00854,-0.00851
HD 20794 d,HD 20794,4,Radial Velocity,2011,La Silla Observatory,6.00278,0.00854,-0.00851
HD 20794 e,HD 20794,4,Radial Velocity,2017,La Silla Observatory,6.00278,0.00854,-0.00851
HD 20794 f,HD 20794,4,Radial Velocity,2025,Multiple Observatories,6.00278,0.00854,-0.00851
HD 208487 b,HD 208487,1,Radial Velocity,2004,Anglo-Australian Telescope,45.147,0.1593,-0.1582
HD 208527 b,HD 208527,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,312.202,11.38,-10.619
HD 20868 b,HD 20868,1,Radial Velocity,2008,La Silla Observatory,47.7223,0.0699,-0.0697
HD 208897 b,HD 208897,1,Radial Velocity,2017,Multiple Observatories,67.4872,0.22105,-0.22105
HD 209458 b,HD 209458,1,Radial Velocity,1999,W. M. Keck Observatory,48.3016,0.124,-0.1234
HD 210193 b,HD 210193,1,Radial Velocity,2019,Las Campanas Observatory,42.2029,0.0794,-0.0792
HD 210277 b,HD 210277,1,Radial Velocity,1998,W. M. Keck Observatory,21.2985,0.022,-0.022
HD 210702 b,HD 210702,1,Radial Velocity,2007,Lick Observatory,54.1963,0.2316,-0.2316
HD 211403 b,HD 211403,1,Radial Velocity,2021,Haute-Provence Observatory,83.0919,0.2375,-0.2361
HD 211810 b,HD 211810,1,Radial Velocity,2018,W. M. Keck Observatory,64.6353,0.131,-0.1304
HD 211970 b,HD 211970,1,Radial Velocity,2019,Las Campanas Observatory,13.1277,0.0069,-0.007
HD 212301 b,HD 212301,1,Radial Velocity,2005,La Silla Observatory,54.2304,0.086,-0.0857
HD 212771 b,HD 212771,1,Radial Velocity,2009,W. M. Keck Observatory,111.155,0.5445,-0.5445
HD 213240 b,HD 213240,1,Radial Velocity,2001,La Silla Observatory,40.8707,0.0626,-0.0625
HD 213472 b,HD 213472,1,Radial Velocity,2021,Multiple Observatories,64.4527,0.1509,-0.1501
HD 213519 b,HD 213519,1,Radial Velocity,2022,Multiple Observatories,41.0014,0.0567,-0.0565
HD 213885 b,HD 213885,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),48.0883,0.0991,-0.0987
HD 213885 c,HD 213885,2,Radial Velocity,2019,Multiple Observatories,48.0883,0.0991,-0.0987
HD 21411 b,HD 21411,1,Radial Velocity,2019,Las Campanas Observatory,29.1328,0.0312,-0.0312
HD 214823 b,HD 214823,1,Radial Velocity,2016,Haute-Provence Observatory,101.368,0.489,-0.485
HD 215152 b,HD 215152,4,Radial Velocity,2018,La Silla Observatory,21.5974,0.0488,-0.0485
HD 215152 c,HD 215152,4,Radial Velocity,2018,La Silla Observatory,21.5974,0.0488,-0.0485
HD 215152 d,HD 215152,4,Radial Velocity,2018,La Silla Observatory,21.5974,0.0488,-0.0485
HD 215152 e,HD 215152,4,Radial Velocity,2018,La Silla Observatory,21.5974,0.0488,-0.0485
HD 21520 b,HD 21520,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),79.208,0.1598,-0.1592
HD 215497 b,HD 215497,2,Radial Velocity,2009,La Silla Observatory,40.5468,0.0537,-0.0535
HD 215497 c,HD 215497,2,Radial Velocity,2009,La Silla Observatory,40.5468,0.0537,-0.0535
HD 216435 b,HD 216435,1,Radial Velocity,2002,Anglo-Australian Telescope,32.9834,0.0848,-0.0843
HD 216437 b,HD 216437,1,Radial Velocity,2002,Anglo-Australian Telescope,26.6902,0.0322,-0.0321
HD 216520 b,HD 216520,2,Radial Velocity,2020,Multiple Observatories,19.552,0.0113,-0.0113
HD 216520 c,HD 216520,2,Radial Velocity,2020,Multiple Observatories,19.552,0.0113,-0.0113
HD 216536 b,HD 216536,1,Radial Velocity,2015,McDonald Observatory,376.233,3.7745,-3.7745
HD 216770 b,HD 216770,1,Radial Velocity,2003,La Silla Observatory,36.6625,0.0984,-0.0979
HD 21693 b,HD 21693,2,Radial Velocity,2019,La Silla Observatory,33.255,0.0349,-0.0348
HD 21693 c,HD 21693,2,Radial Velocity,2019,La Silla Observatory,33.255,0.0349,-0.0348
HD 217107 b,HD 217107,2,Radial Velocity,1998,Lick Observatory,20.0619,0.0232,-0.0233
HD 217107 c,HD 217107,2,Radial Velocity,2005,Lick Observatory,20.0619,0.0232,-0.0233
HD 21749 c,GJ 143,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),16.32,0.0071,-0.0071
HD 217786 b,HD 217786,2,Radial Velocity,2011,La Silla Observatory,55.4847,0.2469,-0.2448
HD 217786 c,HD 217786,2,Radial Velocity,2022,Multiple Observatories,55.4847,0.2469,-0.2448
HD 217958 b,HD 217958,1,Radial Velocity,2022,Multiple Observatories,61.7957,0.2099,-0.2086
HD 218566 b,HD 218566,1,Radial Velocity,2010,W. M. Keck Observatory,28.8274,0.0429,-0.0427
HD 219077 b,HD 219077,1,Radial Velocity,2012,La Silla Observatory,29.1864,0.0372,-0.0372
HD 219134 b,HD 219134,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.53127,0.00384,-0.00385
HD 219134 c,HD 219134,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.53127,0.00384,-0.00385
HD 219134 d,HD 219134,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.53127,0.00384,-0.00385
HD 219134 f,HD 219134,6,Radial Velocity,2015,Multiple Observatories,6.53127,0.00384,-0.00385
HD 219134 g,HD 219134,6,Radial Velocity,2015,Multiple Observatories,6.53127,0.00384,-0.00385
HD 219134 h,HD 219134,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.53127,0.00384,-0.00385
HD 219139 b,HD 219139,1,Radial Velocity,2021,Okayama Astrophysical Observatory,104.935,1.146,-1.121
HD 219415 b,HD 219415,1,Radial Velocity,2012,McDonald Observatory,165.184,0.895,-0.895
