pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_facility,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,1,Radial Velocity,2007,Xinglong Station,93.1846,1.9238,-1.9238
11 UMi b,11 UMi,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,125.321,1.9765,-1.9765
14 And b,14 And,1,Radial Velocity,2008,Okayama Astrophysical Observatory,75.4392,0.714,-0.714
14 Her b,14 Her,2,Radial Velocity,2002,W. M. Keck Observatory,17.9323,0.0073,-0.0073
16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,Multiple Observatories,21.1397,0.011,-0.0111
17 Sco b,17 Sco,1,Radial Velocity,2020,Lick Observatory,124.953,2.59,-2.59
18 Del b,18 Del,1,Radial Velocity,2008,Okayama Astrophysical Observatory,76.222,0.6217,-0.6217
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,Gemini Observatory,139.135,1.332,-1.307
24 Boo b,24 Boo,1,Radial Velocity,2018,Okayama Astrophysical Observatory,95.9863,0.63685,-0.63685
24 Sex b,24 Sex,2,Radial Velocity,2010,Lick Observatory,72.0691,0.6854,-0.6728
24 Sex c,24 Sex,2,Radial Velocity,2010,Lick Observatory,72.0691,0.6854,-0.6728
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,Subaru Telescope,128.484,1.196,-1.174
2M1510 b,2M1510 A,1,Radial Velocity,2025,European Southern Observatory,,,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,Paranal Observatory,47.2,3.1,-3.1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,W. M. Keck Observatory,33.8281,0.0864,-0.086
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,Cerro Tololo Inter-American Observatory,40.08964117,0.19404958,-0.19404958
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018,Mauna Kea Observatory,66.0613,0.4543,-0.4482
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,117.435,2.32,-2.233
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,Hubble Space Telescope,120.423987,5.4783417,-5.4783417
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,100.862,0.603,-0.596
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,Paranal Observatory,64.308,0.6569,-0.644
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Eclipse Timing Variations,2015,Kepler,396.332,6.3885,-6.3885
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,34.1154,0.0811,-0.0807
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,W. M. Keck Observatory,69.5737,0.1592,-0.1585
30 Ari B b,30 Ari B,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,44.657,0.1039,-0.1034
4 UMa b,4 UMa,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,73.4603,1.18605,-1.18605
42 Dra b,42 Dra,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,90.6545,1.3227,-1.3227
47 UMa b,47 UMa,3,Radial Velocity,1996,Lick Observatory,13.7967,0.0289,-0.0289
47 UMa c,47 UMa,3,Radial Velocity,2001,Lick Observatory,13.7967,0.0289,-0.0289
47 UMa d,47 UMa,3,Radial Velocity,2009,Lick Observatory,13.7967,0.0289,-0.0289
51 Eri b,51 Eri,1,Imaging,2015,Gemini Observatory,29.7575,0.1213,-0.1203
51 Peg b,51 Peg,1,Radial Velocity,1995,Haute-Provence Observatory,15.4614,0.0297,-0.0297
55 Cnc b,55 Cnc,5,Radial Velocity,1996,Lick Observatory,12.5855,0.0124,-0.0123
55 Cnc c,55 Cnc,5,Radial Velocity,2004,McDonald Observatory,12.5855,0.0124,-0.0123
55 Cnc d,55 Cnc,5,Radial Velocity,2002,Lick Observatory,12.5855,0.0124,-0.0123
55 Cnc e,55 Cnc,5,Radial Velocity,2004,McDonald Observatory,12.5855,0.0124,-0.0123
55 Cnc f,55 Cnc,5,Radial Velocity,2007,Multiple Observatories,12.5855,0.0124,-0.0123
6 Lyn b,6 Lyn,1,Radial Velocity,2008,Okayama Astrophysical Observatory,54.6599,0.2734,-0.2734
61 Vir b,61 Vir,3,Radial Velocity,2009,Multiple Observatories,8.50332,0.01737,-0.0173
61 Vir c,61 Vir,3,Radial Velocity,2009,Multiple Observatories,8.50332,0.01737,-0.0173
61 Vir d,61 Vir,3,Radial Velocity,2009,Multiple Observatories,8.50332,0.01737,-0.0173
7 CMa b,7 CMa,2,Radial Velocity,2011,Anglo-Australian Telescope,19.8101,0.1648,-0.1648
7 CMa c,7 CMa,2,Radial Velocity,2019,Multiple Observatories,19.8101,0.1648,-0.1648
70 Vir b,70 Vir,1,Radial Velocity,1996,Lick Observatory,17.9011,0.056,-0.0557
75 Cet b,75 Cet,2,Radial Velocity,2012,Okayama Astrophysical Observatory,82.9613,0.72365,-0.72365
75 Cet c,75 Cet,2,Radial Velocity,2023,Okayama Astrophysical Observatory,82.9613,0.72365,-0.72365
8 UMi b,8 UMi,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,162.552,0.651,-0.646
81 Cet b,81 Cet,1,Radial Velocity,2008,Okayama Astrophysical Observatory,101.26,1.222,-1.222
91 Aqr b,91 Aqr,1,Radial Velocity,2013,Lick Observatory,44.0304,0.51325,-0.51325
AB Aur b,AB Aur,1,Imaging,2022,Subaru Telescope,162.127,1.526,-1.498
AB Pic b,AB Pic,1,Imaging,2005,Paranal Observatory,50.0475,0.0735,-0.0733
AF Lep b,AF Lep,1,Imaging,2023,Paranal Observatory,26.8564,0.0189,-0.0188
AT2021ueyL b,AT2021ueyL,1,Microlensing,2025,Multiple Observatories,1040,740,-440
AU Mic b,AU Mic,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),9.7221,0.004625,-0.004625
AU Mic c,AU Mic,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),9.7221,0.004625,-0.004625
AU Mic d,AU Mic,3,Transit Timing Variations,2023,Multiple Observatories,9.7221,0.004625,-0.004625
BD+03 2562 b,BD+03 2562,1,Radial Velocity,2017,Multiple Observatories,1070.63,63.875,-63.875
BD+05 4868 A b,BD+05 4868 A,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),43.5687,0.0975,-0.0971
BD+14 4559 b,BD+14 4559,1,Radial Velocity,2009,McDonald Observatory,49.352,0.0846,-0.0844
BD+15 2375 b,BD+15 2375,1,Radial Velocity,2016,Roque de los Muchachos Observatory,768.045,45.038,-45.038
BD+15 2940 b,BD+15 2940,1,Radial Velocity,2013,McDonald Observatory,426.42,6.44,-6.44
BD+20 2457 b,BD+20 2457,2,Radial Velocity,2009,McDonald Observatory,1539.71,189.925,-189.925
BD+20 2457 c,BD+20 2457,2,Radial Velocity,2009,McDonald Observatory,1539.71,189.925,-189.925
BD+20 274 b,BD+20 274,1,Radial Velocity,2012,McDonald Observatory,1322.51,80.535,-80.535
BD+20 594 b,BD+20 594,1,Transit,2016,K2,179.461,1.257,-1.24
BD+45 564 b,BD+45 564,1,Radial Velocity,2021,Haute-Provence Observatory,53.622,0.1919,-0.1905
BD+48 738 b,BD+48 738,1,Radial Velocity,2011,McDonald Observatory,871.493,43.849,-43.849
BD+48 740 b,BD+48 740,1,Radial Velocity,2018,Multiple Observatories,666.589,21.5335,-21.5335
BD+49 828 b,BD+49 828,1,Radial Velocity,2015,McDonald Observatory,442.042,7.654,-7.654
BD+55 362 b,BD+55 362,1,Radial Velocity,2021,Haute-Provence Observatory,52.5697,0.0974,-0.0971
BD+60 1417 b,BD+60 1417,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,44.9543,0.0593,-0.0592
BD+63 1405 b,BD+63 1405,1,Radial Velocity,2021,Haute-Provence Observatory,38.0473,0.0329,-0.0329
BD-06 1339 b,BD-06 1339,2,Radial Velocity,2013,La Silla Observatory,20.2695,0.022,-0.0218
BD-06 1339 c,BD-06 1339,2,Radial Velocity,2013,La Silla Observatory,20.2695,0.022,-0.0218
BD-08 2823 b,BD-08 2823,2,Radial Velocity,2009,La Silla Observatory,41.3342,0.0685,-0.0682
BD-08 2823 c,BD-08 2823,2,Radial Velocity,2009,La Silla Observatory,41.3342,0.0685,-0.0682
BD-10 3166 b,BD-10 3166,1,Radial Velocity,2000,W. M. Keck Observatory,84.4069,0.3537,-0.3508
BD-11 4672 b,BD-11 4672,2,Radial Velocity,2014,La Silla Observatory,27.1665,0.0346,-0.0346
BD-11 4672 c,BD-11 4672,2,Radial Velocity,2020,Roque de los Muchachos Observatory,27.1665,0.0346,-0.0346
BD-13 2130 b,BD-13 2130,1,Radial Velocity,2007,La Silla Observatory,925.214,41.211,-41.211
BD-14 3065 b,BD-14 3065 A,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),589.423,16.599,-15.729
BD-17 63 b,BD-17 63,1,Radial Velocity,2008,La Silla Observatory,34.4603,0.0929,-0.0924
BD-210397 b,BD-210397,2,Radial Velocity,2023,La Silla Observatory,23.7324,0.0228,-0.0227
BD-210397 c,BD-210397,2,Radial Velocity,2023,La Silla Observatory,23.7324,0.0228,-0.0227
Barnard b,Barnard's star,4,Radial Velocity,2024,Paranal Observatory,1.82655,0.000975,-0.000975
Barnard c,Barnard's star,4,Radial Velocity,2025,Gemini Observatory,1.82655,0.000975,-0.000975
Barnard d,Barnard's star,4,Radial Velocity,2025,Gemini Observatory,1.82655,0.000975,-0.000975
Barnard e,Barnard's star,4,Radial Velocity,2025,Gemini Observatory,1.82655,0.000975,-0.000975
CD Cet b,CD Cet,1,Radial Velocity,2020,Calar Alto Observatory,8.60715,0.00658,-0.00658
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,2011,W. M. Keck Observatory,23.1,2.4,-2.4
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2021,Hubble Space Telescope,,,
CHXR 73 b,CHXR 73,1,Imaging,2006,Hubble Space Telescope,190.374,6.647,-6.22
CI Tau c,CI Tau,1,Radial Velocity,2024,Multiple Observatories,157.998,1.198,-1.18
COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),10.8864,0.0041,-0.0042
CT Cha b,CT Cha,1,Imaging,2007,Paranal Observatory,190.72,0.778,-0.771
CoRoT-1 b,CoRoT-1,1,Transit,2008,CoRoT,787.909,23.491,-23.491
CoRoT-10 b,CoRoT-10,1,Transit,2010,CoRoT,338.386,3.9865,-3.9865
CoRoT-11 b,CoRoT-11,1,Transit,2010,CoRoT,655.037,24.947,-23.209
CoRoT-12 b,CoRoT-12,1,Transit,2010,CoRoT,1126.37,55.745,-55.745
CoRoT-13 b,CoRoT-13,1,Transit,2010,CoRoT,1148.93,62.12,-56.15
CoRoT-14 b,CoRoT-14,1,Transit,2010,CoRoT,1744.6,173.03,-144.9
CoRoT-16 b,CoRoT-16,1,Transit,2011,CoRoT,732.409,35.344,-32.282
CoRoT-17 b,CoRoT-17,1,Transit,2011,CoRoT,1176.12,57.17,-52.19
CoRoT-18 b,CoRoT-18,1,Transit,2011,CoRoT,764.889,27.614,-25.784
CoRoT-19 b,CoRoT-19,1,Transit,2011,CoRoT,790.663,26.737,-25.071
CoRoT-2 b,CoRoT-2,1,Transit,2008,CoRoT,213.283,2.485,-2.43
CoRoT-20 b,CoRoT-20,2,Transit,2011,CoRoT,844.061,24.171,-22.883
CoRoT-20 c,CoRoT-20,2,Radial Velocity,2018,Multiple Observatories,844.061,24.171,-22.883
CoRoT-21 b,CoRoT-21,1,Transit,2012,CoRoT,1398.834197,286.4501849,-286.4501849
CoRoT-22 b,CoRoT-22,1,Transit,2014,CoRoT,627.158,11.187,-10.808
CoRoT-23 b,CoRoT-23,1,Transit,2011,CoRoT,1060.97,45.47,-41.94
CoRoT-24 b,CoRoT-24,2,Transit,2014,CoRoT,591.555,16.043,-15.232
CoRoT-24 c,CoRoT-24,2,Transit,2014,CoRoT,591.555,16.043,-15.232
CoRoT-25 b,CoRoT-25,1,Transit,2013,CoRoT,1103.48,44.28,-41.05
CoRoT-26 b,CoRoT-26,1,Transit,2013,CoRoT,1045.18,,
CoRoT-27 b,CoRoT-27,1,Transit,2014,CoRoT,1010.28,69.26,-61.036
CoRoT-28 b,CoRoT-28,1,Transit,2015,CoRoT,766.183,14.685,-14.152
CoRoT-29 b,CoRoT-29,1,Transit,2015,CoRoT,806.507,44.027,-39.76
CoRoT-3 b,CoRoT-3,1,Transit,2008,CoRoT,768.771,30.791,-28.545
CoRoT-30 b,CoRoT-30,1,Transit,2020,CoRoT,1032.23,48.57,-44.467
CoRoT-31 b,CoRoT-31,1,Transit,2020,CoRoT,2005.76,169.79,-145.71
CoRoT-35 b,CoRoT-35,1,Transit,2022,CoRoT,1123.21,55.9,-50.92
CoRoT-36 b,CoRoT-36,1,Transit,2022,CoRoT,925.958,27.796,-26.247
CoRoT-4 b,CoRoT-4,1,Transit,2008,CoRoT,726.412,15.181,-14.582
CoRoT-5 b,CoRoT-5,1,Transit,2009,CoRoT,882.472,25.62,-25.62
CoRoT-6 b,CoRoT-6,1,Transit,2009,CoRoT,645.294,12.453,-11.997
CoRoT-7 b,CoRoT-7,3,Transit,2009,CoRoT,159.906,0.917,-0.906
CoRoT-7 c,CoRoT-7,3,Radial Velocity,2009,CoRoT,159.906,0.917,-0.906
CoRoT-7 d,CoRoT-7,3,Radial Velocity,2022,La Silla Observatory,159.906,0.917,-0.906
CoRoT-8 b,CoRoT-8,1,Transit,2010,CoRoT,322.037,2.714,-2.714
CoRoT-9 b,CoRoT-9,1,Transit,2009,CoRoT,412.98,4.725,-4.622
CoRoTID 223977153 b,CoRoTID 223977153,1,Transit,2017,CoRoT,576.683,10.436,-10.436
DE CVn b,DE CVn,1,Eclipse Timing Variations,2018,Multiple Facilities,30.5225,0.0284,-0.0285
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,Astrometry,2013,Paranal Observatory,20.77,0.08,-0.08
DH Tau b,DH Tau,1,Imaging,2004,Subaru Telescope,134.846,1.282,-1.258
DMPP-1 b,DMPP-1,4,Radial Velocity,2019,La Silla Observatory,62.5388,0.1782,-0.1773
DMPP-1 c,DMPP-1,4,Radial Velocity,2019,La Silla Observatory,62.5388,0.1782,-0.1773
DMPP-1 d,DMPP-1,4,Radial Velocity,2019,La Silla Observatory,62.5388,0.1782,-0.1773
DMPP-1 e,DMPP-1,4,Radial Velocity,2019,La Silla Observatory,62.5388,0.1782,-0.1773
DMPP-2 b,DMPP-2,1,Radial Velocity,2019,Multiple Facilities,137.94,0.681,-0.675
DMPP-3 A b,DMPP-3 A,1,Radial Velocity,2019,La Silla Observatory,45.23,1.6,-1.72
DMPP-4 b,DMPP-4,1,Radial Velocity,2023,Multiple Observatories,25.3284,0.0382,-0.038
DP Leo b,DP Leo,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,305.684,33.554,-27.604
DS Tuc A b,DS Tuc A,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),44.0622,0.0693,-0.0691
EPIC 201170410.02,EPIC 201170410,1,Transit,2020,K2,134,45.8,-39.8
EPIC 201238110 b,EPIC 201238110,1,Transit,2019,K2,159.259,1.414,-1.39
EPIC 201427007 b,EPIC 201427007,1,Transit,2021,K2,706.391,16.79,-16.79
EPIC 201497682 b,EPIC 201497682,1,Transit,2019,K2,253.026,1.664,-1.664
EPIC 201595106 b,EPIC 201595106,2,Transit,2021,K2,232.1,2.706,-2.646
EPIC 201615463 c,K2-166,2,Transit,2019,K2,476.882,9.692,-9.321
EPIC 201754305 d,K2-16,3,Transit,2019,K2,334.967,4.1785,-4.1785
EPIC 201757695.02,EPIC 201757695,1,Transit,2020,K2,577.6,33.2,-29.8
EPIC 201833600 c,K2-50,2,Transit,2019,K2,257.443,3.239,-3.239
EPIC 201841433 b,EPIC 201841433,1,Transit,2019,K2,436.488,8.178001,-7.888
EPIC 205950854 c,K2-168,2,Transit,2019,K2,243.935,4.239,-4.099
EPIC 206024342 b,EPIC 206024342,3,Transit,2019,K2,369.888,4.99,-4.86
EPIC 206024342 c,EPIC 206024342,3,Transit,2021,K2,369.888,4.99,-4.86
EPIC 206024342 d,EPIC 206024342,3,Transit,2021,K2,369.888,4.99,-4.86
EPIC 206032309 b,EPIC 206032309,1,Transit,2019,K2,161.365,1.793,-1.793
EPIC 206042996 b,EPIC 206042996,2,Transit,2019,K2,451.769,13.976,-13.176
EPIC 206042996 c,EPIC 206042996,2,Transit,2021,K2,451.769,13.976,-13.176
EPIC 206215704 b,EPIC 206215704,1,Transit,2019,K2,109.888,1.08,-1.08
EPIC 206317286 b,EPIC 206317286,2,Transit,2019,K2,314.35,2.936,-2.882
EPIC 206317286 c,EPIC 206317286,2,Transit,2022,K2,314.35,2.936,-2.882
EPIC 211822797 b,EPIC 211822797,1,Transit,2016,K2,186.197,1.3645,-1.3645
EPIC 211945201 b,EPIC 211945201,1,Transit,2018,K2,181.69,1.295,-1.277
EPIC 212297394 b,EPIC 212297394,2,Transit,2019,K2,418.395,7.353,-7.107
EPIC 212297394 c,EPIC 212297394,2,Transit,2021,K2,418.395,7.353,-7.107
EPIC 212424622 b,EPIC 212424622,1,Transit,2019,K2,611.804,10.285,-9.956
EPIC 212499991 b,EPIC 212499991,1,Transit,2019,K2,283.29,2.043,-2.015
EPIC 212587672 b,EPIC 212587672,2,Transit,2019,K2,320.07,6.392,-6.152
EPIC 212587672 c,EPIC 212587672,2,Transit,2021,K2,320.07,6.392,-6.152
EPIC 212624936 b,EPIC 212624936,2,Transit,2021,K2,561.929,8.913,-8.644
EPIC 212624936 c,EPIC 212624936,2,Transit,2021,K2,561.929,8.913,-8.644
EPIC 212737443 b,EPIC 212737443,2,Transit,2019,K2,336.25,4.743,-4.615
EPIC 212737443 c,EPIC 212737443,2,Transit,2019,K2,336.25,4.743,-4.615
EPIC 220492298 b,EPIC 220492298,1,Transit,2021,K2,624.512,14.947,-14.947
EPIC 220554210 c,K2-282,2,Transit,2019,K2,496.289,7.902,-7.663
EPIC 220674823 b,EPIC 220674823,2,Transit,2016,K2,244.59,3.044,-2.972
EPIC 220674823 c,EPIC 220674823,2,Transit,2016,K2,244.59,3.044,-2.972
EPIC 228836835 b,EPIC 228836835,1,Transit,2021,K2,150.124,1.799,-1.758
EPIC 229004835 b,EPIC 229004835,1,Transit,2023,K2,121.971,0.879,-0.866
EPIC 246851721 b,EPIC 246851721,1,Transit,2018,K2,372.632,19.456,-17.644
EPIC 248847494 b,EPIC 248847494,1,Transit,2018,K2,551.886,12.752,-12.752
EPIC 249893012 b,EPIC 249893012,3,Transit,2020,K2,321.296,4.189,-4.085
EPIC 249893012 c,EPIC 249893012,3,Transit,2020,K2,321.296,4.189,-4.085
EPIC 249893012 d,EPIC 249893012,3,Transit,2020,K2,321.296,4.189,-4.085
FU Tau b,FU Tau,1,Imaging,2008,Spitzer Space Telescope,133.4950466,22.96498906,-22.96498906
G 192-15 b,G 192-15,2,Radial Velocity,2025,Calar Alto Observatory,9.53114,0.006825,-0.006825
G 192-15 c,G 192-15,2,Radial Velocity,2025,Calar Alto Observatory,9.53114,0.006825,-0.006825
G 196-3 b,G 196-3,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,21.7912,0.01855,-0.01855
G 261-6 b,G 261-6,1,Radial Velocity,2025,Calar Alto Observatory,10.6267,0.0063,-0.0063
G 264-012 b,G 264-012,2,Radial Velocity,2021,Calar Alto Observatory,16.009,0.0104,-0.0103
G 264-012 c,G 264-012,2,Radial Velocity,2021,Calar Alto Observatory,16.009,0.0104,-0.0103
G 268-110 b,G 268-110,1,Radial Velocity,2025,Calar Alto Observatory,,,
G 9-40 b,G 9-40,1,Transit,2019,K2,27.9276,0.0451,-0.045
GJ 1002 b,GJ 1002,2,Radial Velocity,2022,Multiple Observatories,4.84867,0.00303,-0.00304
GJ 1002 c,GJ 1002,2,Radial Velocity,2022,Multiple Observatories,4.84867,0.00303,-0.00304
GJ 1061 b,GJ 1061,3,Radial Velocity,2020,La Silla Observatory,3.67278,0.00089,-0.0009
GJ 1061 c,GJ 1061,3,Radial Velocity,2020,La Silla Observatory,3.67278,0.00089,-0.0009
GJ 1061 d,GJ 1061,3,Radial Velocity,2020,La Silla Observatory,3.67278,0.00089,-0.0009
GJ 1132 b,GJ 1132,2,Transit,2015,Cerro Tololo Inter-American Observatory,12.613,0.007,-0.007
GJ 1132 c,GJ 1132,2,Radial Velocity,2018,La Silla Observatory,12.613,0.007,-0.007
GJ 1148 b,GJ 1148,2,Radial Velocity,2010,W. M. Keck Observatory,11.0143,0.0064,-0.0065
GJ 1148 c,GJ 1148,2,Radial Velocity,2017,Calar Alto Observatory,11.0143,0.0064,-0.0065
GJ 1151 c,GJ 1151,1,Radial Velocity,2023,Multiple Facilities,8.03625,0.00772,-0.00771
GJ 1214 b,GJ 1214,1,Transit,2009,MEarth Project,14.6427,0.0372,-0.0372
GJ 1252 b,GJ 1252,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),20.373,0.0192,-0.0192
GJ 1265 b,GJ 1265,1,Radial Velocity,2018,Calar Alto Observatory,10.2525,0.0075,-0.0076
GJ 1289 b,GJ 1289,1,Radial Velocity,2024,Multiple Observatories,8.35147,0.00819,-0.00818
GJ 143 b,GJ 143,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),16.32,0.0071,-0.0071
GJ 15 A b,GJ 15 A,2,Radial Velocity,2014,W. M. Keck Observatory,3.56228,0.00055,-0.00055
GJ 15 A c,GJ 15 A,2,Radial Velocity,2018,Roque de los Muchachos Observatory,3.56228,0.00055,-0.00055
GJ 160.2 b,GJ 160.2,1,Radial Velocity,2014,Multiple Observatories,25.8557,0.0393,-0.0391
GJ 163 b,GJ 163,3,Radial Velocity,2013,La Silla Observatory,15.1285,0.0072,-0.0072
GJ 163 c,GJ 163,3,Radial Velocity,2013,La Silla Observatory,15.1285,0.0072,-0.0072
GJ 163 d,GJ 163,3,Radial Velocity,2013,La Silla Observatory,15.1285,0.0072,-0.0072
GJ 179 b,GJ 179,1,Radial Velocity,2009,W. M. Keck Observatory,12.356,0.0093,-0.0093
GJ 180 b,GJ 180,3,Radial Velocity,2014,Multiple Observatories,11.9407,0.0045,-0.0045
GJ 180 c,GJ 180,3,Radial Velocity,2014,Multiple Observatories,11.9407,0.0045,-0.0045
GJ 180 d,GJ 180,3,Radial Velocity,2020,Multiple Facilities,11.9407,0.0045,-0.0045
GJ 2030 b,GJ 2030,2,Radial Velocity,2022,Multiple Observatories,37.0788,0.0647,-0.0644
GJ 2030 c,GJ 2030,2,Radial Velocity,2022,Multiple Observatories,37.0788,0.0647,-0.0644
GJ 2056 b,GJ 2056,1,Radial Velocity,2020,Multiple Observatories,28.4434,0.0234,-0.0233
GJ 2126 b,GJ 2126,1,Radial Velocity,2025,La Silla Observatory,38.129,0.1175,-0.1167
GJ 229 A c,GJ 229,2,Radial Velocity,2020,Multiple Facilities,5.75624,0.001525,-0.001525
GJ 229 b,GJ 229,2,Radial Velocity,2014,Multiple Observatories,5.75624,0.001525,-0.001525
GJ 238 b,GJ 238,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),15.2142,0.0071,-0.0072
GJ 251 b,GJ 251,1,Radial Velocity,2020,W. M. Keck Observatory,5.58057,0.00198,-0.00198
GJ 27.1 b,GJ 27.1,1,Radial Velocity,2014,Multiple Observatories,23.6062,0.02565,-0.02565
GJ 273 b,GJ 273,2,Radial Velocity,2017,La Silla Observatory,5.921535,0.0206332,-0.0206332
GJ 273 c,GJ 273,2,Radial Velocity,2017,La Silla Observatory,5.921535,0.0206332,-0.0206332
GJ 3021 b,GJ 3021,1,Radial Velocity,2000,La Silla Observatory,17.5559,0.0073,-0.0073
GJ 3082 b,GJ 3082,1,Radial Velocity,2020,Multiple Facilities,16.6186,0.00745,-0.00745
GJ 3090 b,GJ 3090,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),22.4751,0.02605,-0.02605
GJ 3138 b,GJ 3138,3,Radial Velocity,2017,La Silla Observatory,28.4712,0.03505,-0.03505
GJ 3138 c,GJ 3138,3,Radial Velocity,2017,La Silla Observatory,28.4712,0.03505,-0.03505
GJ 3138 d,GJ 3138,3,Radial Velocity,2017,La Silla Observatory,28.4712,0.03505,-0.03505
GJ 317 b,GJ 317,2,Radial Velocity,2007,W. M. Keck Observatory,15.1968,0.013,-0.0129
GJ 317 c,GJ 317,2,Radial Velocity,2018,W. M. Keck Observatory,15.1968,0.013,-0.0129
GJ 3222 b,GJ 3222,1,Radial Velocity,2022,Multiple Observatories,18.23817,,
GJ 328 b,GJ 328,2,Radial Velocity,2013,McDonald Observatory,20.5266,0.01685,-0.01685
GJ 328 c,GJ 328,2,Radial Velocity,2023,Roque de los Muchachos Observatory,20.5266,0.01685,-0.01685
GJ 3293 b,GJ 3293,4,Radial Velocity,2015,La Silla Observatory,20.1903,0.0216,-0.0216
GJ 3293 c,GJ 3293,4,Radial Velocity,2015,La Silla Observatory,20.1903,0.0216,-0.0216
GJ 3293 d,GJ 3293,4,Radial Velocity,2017,La Silla Observatory,20.1903,0.0216,-0.0216
GJ 3293 e,GJ 3293,4,Radial Velocity,2017,La Silla Observatory,20.1903,0.0216,-0.0216
GJ 3323 b,GJ 3323,2,Radial Velocity,2017,La Silla Observatory,5.37484,0.00172,-0.00172
GJ 3323 c,GJ 3323,2,Radial Velocity,2017,La Silla Observatory,5.37484,0.00172,-0.00172
GJ 3341 b,GJ 3341,1,Radial Velocity,2015,La Silla Observatory,23.619,0.0291,-0.029
GJ 338 B b,GJ 338 B,1,Radial Velocity,2020,Calar Alto Observatory,6.33256,0.00167,-0.00168
GJ 341 b,GJ 341,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),10.454,0.00315,-0.00315
GJ 3470 b,GJ 3470,1,Radial Velocity,2012,La Silla Observatory,29.4214,0.0508,-0.0507
GJ 3473 b,GJ 3473,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),27.3644,0.0376,-0.0376
GJ 3473 c,GJ 3473,2,Radial Velocity,2020,Multiple Observatories,27.3644,0.0376,-0.0376
GJ 3512 b,GJ 3512,2,Radial Velocity,2019,Calar Alto Observatory,9.48637,0.00857,-0.00856
GJ 3512 c,GJ 3512,2,Radial Velocity,2020,Multiple Observatories,9.48637,0.00857,-0.00856
GJ 357 b,GJ 357,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),9.44181,0.00511,-0.00511
GJ 357 c,GJ 357,3,Radial Velocity,2019,Multiple Observatories,9.44181,0.00511,-0.00511
GJ 357 d,GJ 357,3,Radial Velocity,2019,Multiple Observatories,9.44181,0.00511,-0.00511
GJ 3634 b,GJ 3634,1,Radial Velocity,2010,La Silla Observatory,20.3779,0.03165,-0.03165
GJ 367 b,GJ 367,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),9.41263,0.002835,-0.002835
GJ 367 c,GJ 367,3,Radial Velocity,2023,La Silla Observatory,9.41263,0.002835,-0.002835
GJ 367 d,GJ 367,3,Radial Velocity,2023,La Silla Observatory,9.41263,0.002835,-0.002835
GJ 3779 b,GJ 3779,1,Radial Velocity,2018,Calar Alto Observatory,13.743,0.0117,-0.0116
